id,codename,name,emoji,role,expertise,inspired_by,tier
copy-master-chief,COPY-CHIEF,Copy Master Chief,👑,Orquestrador da squad — escolhe lendários por situação e consolida,Routing estratégico de copywriting,Master Chief,chief
gary-halbert,HALBERT,Gary Halbert,🔥,Mestre da urgência emocional e direct response,Hooks viscerais / Boron Letters,Gary Halbert,1a
russell-brunson,BRUNSON,Russell Brunson,🎯,Storytelling de funil + Hook Story Offer,Carrossel + lançamento,Russell Brunson,1a
eugene-schwartz,SCHWARTZ,Eugene Schwartz,🧠,Big idea + estágios de consciência do mercado,Breakthrough Advertising,Eugene Schwartz,1a
joe-sugarman,SUGARMAN,Joe Sugarman,✨,Storytelling envolvente + escorregadia,Adweek Copywriting Handbook,Joe Sugarman,1a
sabri-suby,SUBY,Sabri Suby,💎,Conversão direta + escassez genuína,Sell Like Crazy,Sabri Suby,1a
alex-hormozi,HORMOZI,Alex Hormozi,💰,Grand Slam Offer + value equation,$100M Offers,Alex Hormozi,1a
robert-cialdini,CIALDINI,Robert Cialdini,🔗,7 princípios de persuasão científica,Influence,Robert Cialdini,1a
john-caples,CAPLES,John Caples,📰,A/B testing + headlines testáveis,Tested Advertising Methods,John Caples,1a
evaldo-albuquerque,EVALDO,Evaldo Albuquerque,🇧🇷,Voz cultural BR + tradução de big ideas,16 Word Sales Letter,Evaldo Albuquerque,1a
dan-kennedy,KENNEDY,Dan Kennedy,👑,No BS marketing + maximização de retorno,The Ultimate Sales Letter,Dan Kennedy,1a
gary-bencivenga,BENCIVENGA,Gary Bencivenga,🏆,Provador estatístico + believability,Marketing Bullets,Gary Bencivenga,1b
chris-voss,VOSS,Chris Voss,🎙️,Negociação + tactical empathy,Never Split the Difference,Chris Voss,1b
andre-chaperon,CHAPERON,Andre Chaperon,📖,Soap Opera Sequence + email storytelling,Autoresponder Madness,Andre Chaperon,1b
john-carlton,CARLTON,John Carlton,🎤,Bad-boy copy + direct response selvagem,Kick-Ass Copywriting,John Carlton,1b
david-deutsch,DEUTSCH,David Deutsch,🪞,Insight psicológico profundo no avatar,Avatar Empathy,David Deutsch,1b
clayton-makepeace,MAKEPEACE,Clayton Makepeace,❤️,Emoção viral em copy financeira/saúde,The Makepeace Method,Clayton Makepeace,1b
david-ogilvy,OGILVY,David Ogilvy,🎩,Brand + research-driven copy,Confessions of an Advertising Man,David Ogilvy,1b
claude-hopkins,HOPKINS,Claude Hopkins,🔬,Scientific Advertising + reason-why,Scientific Advertising,Claude Hopkins,1b
todd-brown,BROWN,Todd Brown,📐,E5 Method + big idea engineering,The E5 Method,Todd Brown,1b
blair-warren,WARREN,Blair Warren,🤫,One Sentence Persuasion + crenças do avatar,One Sentence Persuasion,Blair Warren,1b
jim-rutz,RUTZ,Jim Rutz,📜,Long-form direct mail mestre,Million Dollar Sales Letters,Jim Rutz,1b
joanna-wiebe,WIEBE,Joanna Wiebe,🗣️,Voice of Customer + linguagem real do avatar,Copy Hackers,Joanna Wiebe,1b
stefan-georgi,GEORGI,Stefan Georgi,🚀,VSL + RMBC method,RMBC Method,Stefan Georgi,1b
rosser-reeves,REEVES,Rosser Reeves,🛡️,USP + reality in advertising,Reality in Advertising,Rosser Reeves,1b
frank-kern,KERN,Frank Kern,🌅,Mass control + conversational copy,Mass Control,Frank Kern,1b
dan-koe,KOE,Dan Koe,🌐,Personal brand + creator economy,The Art of Focus,Dan Koe,1b
ben-settle,SETTLE,Ben Settle,✉️,Email daily + entertainment-first,Email Players,Ben Settle,1b
parris-lampropoulos,PARRIS,Parris Lampropoulos,🏛️,A-list copywriter + research deep,Inside Bootcamp,Parris Lampropoulos,1b
jon-benson,BENSON,Jon Benson,📺,VSL inventor + 3X VSL formula,3X VSL Formula,Jon Benson,1b
robert-collier,COLLIER,Robert Collier,📚,Mental imagery + emotional triggers,The Robert Collier Letter Book,Robert Collier,1b
oren-klaff,KLAFF,Oren Klaff,🎬,Pitch frame + status-driven negotiation,Pitch Anything,Oren Klaff,1b
ry-schwartz,RY,Ry Schwartz,🎵,Conscious copy + ascension launch,Coaches Cartel,Ry Schwartz,1b
